A whole bunch of spiders in a SWAT suit
Al "Otta" Gore
AMERICA
Beat Punchbeef
Beef Manmuscle
Beef Slab
Benny Bloodmulch
Bicep McTricep
Billy Herrington
Blast Hardcheese
Blast Thickneck
Bob Johnson
Bold Bigflank
Bolt Vanderhuge
Brawn Hugeneck
Brick Hardmeat
Buck Plankchest
Buff Drinklots
Buff Hardback
Buff Slamchest
Butch Deadlift
Chombo Cromagnum
Chunk Ultrawall
Crud Bonemeal
Crunch Buttsteak
Crush McStompbones
Diego Diefist
Does Something
Dirk Hardpeck
Duke Killington
Fist Rockbone
Flint Ironstag
Ford Spinetwist
Frank Objectification
Freak Matcher
Fridge Largemeat
George Melons
George Supermelons
George Megamelons
George Megamillions
George Ultramelons
Gibbs McLargehuge
GORE Vidal
Gristle McThornBody
Hank Chesthair
Hapy Friender
Hans Testosteroneson
Killiam Shakespeare
Killing McKillingalot
Jet Handblood
Jlip Swarmer
Lance Killiam
Leonardo Da Viking
Lump Beefrock
Lunge Crushheel
Mancrush McBrorape
Max Pain
Maximilian Murderface
Maxx Power
Noam Bombsky
Norb Chrometaint
Oats Squatzon
Pack Blowfist
Punch Rockgroin
Punch Sideiron
Punt Speedchunk
Reef Blastbody
Rex Dudekiller VII
Rip Sidecheek
Rip Steakface
Rock Vangranite
Ronnie Megamilk
Roid Swolebod
Roll Fizzlebeef
Ronnie Roidready
Sarah Pain
Scary Stranger
Seamus McTosterone
Spinch Screamer
Sgt Slaughter
Slab Doorhinge
Shred Gluteflex
Sir Killaslot
Slab Bulkhead
Slab Squatthrust
Slake Fistcrunch
Slate Slabrock
Smash Lampjaw
Smelly Armchair
Smoke Manmuscle
Splint Chesthair
Stabby McGee
Stump Beefgnaw
Stump Chunkman
Theodore Pain
Thick McRunfast
Thump Dictionary
Thrust Vanderhuge
Trent Tightshirt
Toolboxl Rose
Touch Rustrod
Trunk Slamchest
Trachea Bodyobliterator
Uncomfortable Starer
William Kissknuckles
